Scraped At,Section,Product Name,Price,Rating,Image URL,Product URL
2/12/2026 16:37,Men Clothing,Mashaykh Polyester Men's Windcheater Jacket - Black ( Pack of 1 ),Rs. 657,4.2,https://g.sdlcdn.com/imgs/l/b/h/Mashaykh-Polyester-Men-s-Windcheater-SDL157530207-1-7fb0b.png?w=220&h=258&sharp=7,https://www.snapdeal.com/product/mashaykh-polyester-mens-windcheater-jacket/8070451213846398245#bcrumbSearch:men%20clothing
2/12/2026 16:37,Men Clothing,eddicted Polyester Men's Puffer Jacket - Blue ( Pack of 1 ),Rs. 582,4.4,https://g.sdlcdn.com/imgs/l/a/d/eddicted-Polyester-Men-s-Puffer-SDL030347315-1-767b1.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/eddicted-polyester-mens-puffer-jacket/670491913382#bcrumbSearch:men%20clothing
2/12/2026 16:37,Men Clothing,NUEVOSPORTA Denim Men's Denim Jacket - Blue ( Pack of 1 ),Rs. 622,4.4,https://g.sdlcdn.com/imgs/k/m/u/NUEVOSPORTA-Blue-Denim-Regular-Fit-SDL591746050-1-c6d1d.JPG?w=220&h=258&sharp=7,https://www.snapdeal.com/product/nuevosporta-blue-denim-regular-fit/6917529704347503148#bcrumbSearch:men%20clothing
2/12/2026 16:37,Men Clothing,Brandline Multi Cotton Men's Unstitched Shirts & Trousers ( Pack of 1 ),Rs. 582,4.2,https://g.sdlcdn.com/imgs/l/f/4/Brandline-Multi-Cotton-Men-s-SDL815554814-1-dab32.jpeg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/brandline-multi-cotton-mens-unstitched/620251350244#bcrumbSearch:men%20clothing
2/12/2026 16:37,Men Clothing,TAZO Nylon Men's Windcheater Jacket - Blue ( Pack of 1 ),Rs. 462,3.9,https://g.sdlcdn.com/imgs/l/b/9/TAZO-Nylon-Men-s-Windcheater-SDL669477292-1-46142.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/tazo-nylon-mens-windcheater-jacket/6917529664191551592#bcrumbSearch:men%20clothing
2/12/2026 16:37,Men Clothing,yellow tree Polyester Men's Casual Jacket - Black ( Pack of 1 ),Rs. 685,4.2,https://g.sdlcdn.com/imgs/k/z/g/yellow-tree-Polyester-Men-s-SDL825024853-1-9cd4f.jpeg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/yellow-tree-polyester-mens-casual/620245248238#bcrumbSearch:men%20clothing
2/12/2026 16:37,Men Clothing,Mashaykh Polyester Men's Windcheater Jacket - White ( Pack of 1 ),Rs. 682,4.2,https://g.sdlcdn.com/imgs/l/b/h/Mashaykh-Polyester-Men-s-Windcheater-SDL168902188-1-093c7.png?w=220&h=258&sharp=7,https://www.snapdeal.com/product/mashaykh-polyester-mens-windcheater-jacket/5764608204632704293#bcrumbSearch:men%20clothing
2/12/2026 16:37,Men Clothing,yellow tree Polyester Men's Casual Jacket - White ( Pack of 1 ),Rs. 704,4.1,https://g.sdlcdn.com/imgs/k/z/e/yellow-tree-Polyester-Men-s-SDL163258027-1-ec3ab.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/yellow-tree-polyester-mens-casual/619131057452#bcrumbSearch:men%20clothing
2/12/2026 16:37,Men Clothing,eddicted Polyester Men's Puffer Jacket - Navy Blue ( Pack of 1 ),Rs. 617,4.1,https://g.sdlcdn.com/imgs/l/a/d/eddicted-Polyester-Men-s-Puffer-SDL075297953-1-5e0d6.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/eddicted-polyester-mens-puffer-jacket/676274661463#bcrumbSearch:men%20clothing
2/12/2026 16:37,Women Clothing,Kismat Collection Women Cotton Fit & Flare Dress ( Multi Color ),Rs. 368,3.7,https://g.sdlcdn.com/imgs/i/5/5/Kismat-Collection-Cotton-Multi-Color-SDL535643252-1-8f758.jpeg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/kismat-collection-cotton-multi-color/639492284593#bcrumbSearch:women%20clothing
2/12/2026 16:37,Women Clothing,"BLYNK Lycra Petticoat ( Maroon , )",Rs. 171,3.8,https://g.sdlcdn.com/imgs/k/4/n/BLYNK-Maroon-Lycra-Petticoat-Single-SDL668960857-1-5af35.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/blynk-black-lycra-petticoat-single/5188147430643776920#bcrumbSearch:women%20clothing
2/12/2026 16:37,Women Clothing,"KNOWZY Rayon Women Dupatta ( Magenta , Pack of 1 )",Rs. 108,3.8,https://g.sdlcdn.com/imgs/l/f/n/KNOWZY-Rayon-Women-Dupatta-Magenta-SDL251817965-1-b3506.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/knowzy-rayon-women-dupatta-sea/641119764286#bcrumbSearch:women%20clothing
2/12/2026 16:37,Women Clothing,"N-Gal Lycra Petticoat ( Black , )",Rs. 248,4.3,https://g.sdlcdn.com/imgs/k/p/e/N-Gal-Black-Lycra-Petticoat-SDL981459447-1-c992e.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/ngal-beige-lycra-petticoat-single/5764608182163878323#bcrumbSearch:women%20clothing
2/12/2026 16:37,Women Clothing,Fasanger Cotton Lycra Women's Shrugs - White ( ),Rs. 244,4.6,https://g.sdlcdn.com/imgs/k/5/o/Fasanger-Cotton-Lycra-Women-s-SDL506292992-1-cc23f.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/fasanger-cotton-lycra-womens-shrugs/639761159306#bcrumbSearch:women%20clothing
2/12/2026 16:37,Women Clothing,TRAHIMAM Women Viscose Embroidered Straight Kurti With Pants ( Pink ),Rs. 387,4.1,https://g.sdlcdn.com/imgs/l/g/r/TRAHIMAM-Women-Viscose-Embroidered-Straight-SDL554369616-1-8257f.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/trahimam-women-viscose-embroidered-straight/6917529710109944524#bcrumbSearch:women%20clothing
2/12/2026 16:37,Women Clothing,Vkaran Lycra Cut Outs Saree With Unstitched Blouse Piece ( Black ),Rs. 299,3.6,https://g.sdlcdn.com/imgs/k/x/c/Vkaran-Net-Cut-Outs-Saree-SDL946651765-1-6b591.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/vkaran-net-cut-outs-saree/671509742585#bcrumbSearch:women%20clothing
2/12/2026 16:37,Women Clothing,"DELTIN HUB Polyester Petticoat ( Blue , )",Rs. 234,4,https://g.sdlcdn.com/imgs/k/4/g/DELTIN-HUB-Blue-Polyester-Petticoat-SDL501925208-1-bff5b.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/deltin-hub-navy-polyester-petticoat/6341068913791878027#bcrumbSearch:women%20clothing
2/12/2026 16:37,Women Clothing,shrihub - Cotton Red Women's Semi Patiala Salwar ( Pack of 1 ),Rs. 210,4,https://g.sdlcdn.com/imgs/k/n/2/shrihub-Cotton-Red-Women-s-SDL655191720-1-c28be.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/shrihub-cotton-red-womens-semi/632446293462#bcrumbSearch:women%20clothing
2/12/2026 16:37,Women Clothing,Rajnandini Unstitched Cotton Blend Printed Dress Material - Multicolor 2 ( Pack of 1 ),Rs. 390,3.9,https://g.sdlcdn.com/imgs/k/2/h/Rajnandini-Unstitched-Cotton-Blend-Printed-SDL013426798-1-f2599.jpg?w=220&h=258&sharp=7,https://www.snapdeal.com/product/rajnandini-unstitched-cotton-blend-printed/5188147428466274398#bcrumbSearch:women%20clothing
